0,ABHD11-AS1,WBSCR26
1,ABHD11-AS1, LINC00035
2,ABHD11-AS1, NCRNA00035
3,ADAMTS9-AS2,ADAMTS9 antisense RNA 2
4,ADAMTS9-AS2,ADAMTS9 antisense RNA 2 (non-protein coding)
5,ADAMTS9-AS2,NONHSAG035335.2
6,ADAMTS9-AS2,ADAMTS9-AS2
7,ADAMTS9-AS2,HSALNG0026583
8,ADAMTS9-AS2,HSALNG0026595
9,ADAMTS9-AS2,lnc-ATXN7-15
10,ADAMTS9-AS2,HSALNG0026585
11,ADPGK-AS1,ADPGK antisense RNA 1
12,ADPGK-AS1,ADPGK antisense RNA 1 (non-protein coding)
13,ADPGK-AS1,NONHSAG017366.2
14,ADPGK-AS1,ADPGK-AS1
15,ADPGK-AS1,HSALNG0107094
16,AFAP1-AS1,AFAP1AS
17,AFAP1-AS1, AFAP1-AS
18,AGAP2-AS1,PUNISHER
19,"ANCR",AGU2
20,"ANCR", ANCR
21,"ANCR", SNHG13
22,"ANCR", KIAA0114
23,"ANCR", lncRNA-ANCR
24,"ANCR", DANCR
25,"ANRIL",ANRIL
26,"ANRIL", p15AS
27,"ANRIL", PCAT12
28,"ANRIL", CDKN2BAS
29,"ANRIL", CDKN2B-AS
30,"ANRIL", NCRNA00089
31,"ANRIL", CDKN2B-AS1
32,"AWPPH",AGD2
33,"AWPPH", MORRBID
34,"AWPPH", LINC00978
35,"AWPPH", MIR4435-1HG
36,"AWPPH", lncRNA-AWPPH
37,"AWPPH", MIR4435-2HG
38,B3GALT5-AS1,C21orf88
39,B4GALT1-AS1,B4GALT1 antisense RNA 1
40,B4GALT1-AS1,HSALNG0070760
41,B4GALT1-AS1,HSALNG0070759
42,B4GALT1-AS1,lnc-SPINK4-4
43,B4GALT1-AS1,HSALNG0070762
44,B4GALT1-AS1,NONHSAG052016.2
45,"BA318C17.1",BA318C17.1
46,"BA318C17.1", NCRNA00186
47,"BA318C17.1", MACROD2-AS1
48,BACE1-AS,BACE1AS
