"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"91H","colorectal cancer","qPCR","up-regulated","","","","30978169","details","","","","",""
"91H","colorectal cancer","qPCR, Western blot","up-regulated","","","","29410604","details","","","","",""
"91H","colorectal cancer","qPCR, RNAi etc.","up-regulated","","","","25058480","details","","","","",""
"AB073614","colorectal cancer","qRT-PCR, Western blotting","up-regulated","","","","31934121","details","","","","",""
"AB073614","colorectal cancer","qPCR, Western blot","up-regulated","","","","29439310","details","","","","",""
"AB073614","colorectal cancer","qPCR, Western blot, etc.","up-regulated","","","","28738539","details","","","","",""
"ABHD11-AS1","colorectal cancer","qPCR, RIP, Luciferase reporter assay, Western blot, other","up-regulated","","","","30429229","details","","","","",""
"ABHD11-AS1","colorectal cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.","up-regulated","","","","30537177","details","","","","",""
"AC009022.1","colorectal cancer","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","31637768","details","","","","",""
"AC105461.1","colorectal cancer","qPCR","up-regulated","","","","28496335","details","","","","",""
"ADAMTS9-AS2","colorectal cancer","qPCR etc.","down-regulated","","","","27596298","details","","","","",""
"ADPGK-AS1","colorectal cancer","qPCR, Luciferase reporter assay etc","up-regulated","","","","32196589","details","","","","",""
"AFAP1-AS1","colorectal cancer","qPCR, Western blot, in vitro knockdown, RIP","up-regulated","","","","29888110","details","","","","",""
"AFAP1-AS1","colorectal cancer","qRT-PCR etc.","up-regulated","","","","31132513","details","","","","",""
"AFAP1-AS1","colon cancer","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","30588252","details","","","","",""
"AFAP1-AS1","colorectal cancer","qPCR etc.","up-regulated","","","","27596298","details","","","","",""
"AFAP1-AS1","colorectal cancer","qPCR, RNAi etc.","up-regulated","","","","27261589","details","","","","",""
"AFAP1-AS1","colorectal cancer","qPCR, RNAi, Western blot, MTT assay etc.","up-regulated","","","","27578191","details","","","","",""
"AFAP1-AS1","colorectal cancer","qPCR, ChIP, RIP, Western blot, etc.","up-regulated","","","","29888110","details","","","","",""
"AGAP2-AS1","colorectal cancer","qPCR, Western blot, RIP, Luciferase reporter assay etc","up-regulated","","","","32202509","details","","","","",""
"AK001058","colorectal cancer","qPCR, Western blot","up-regulated","","","","31632580","details","","","","",""
"AK001058","colorectal cancer","qPCR","up-regulated","","","","31632555","details","","","","",""
"AK021444","colorectal cancer","Microarray, qPCR etc.","up-regulated","","","","26463626","details","","","","",""
