"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"AA174084","gastric cancer","qPCR, RIP etc.","down-regulated","","","","24986041","details","","","","",""
"AB007962","gastric cancer","qPCR, other","down-regulated","","","","30214597","details","","","","",""
"AB073614","gastric cancer","RT-qPCR, Western blot analysis","up-regulated","","","","31957827","details","","","","",""
"ABHD11-AS1","gastric cancer","qPCR etc.","up-regulated","","","","26280398","details","","","","",""
"ABHD11-AS1","gastric cancer","qPCR etc.","up-regulated","","","","24984296","details","","","","",""
"AC010761.9","gastric adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","29499718","details","","","","",""
"AC016735.2","gastric cancer","qPCR etc.","up-regulated","","","","29693709","details","","","","",""
"AC093818.1","gastric cancer","qRT-PCR, Western blot","up-regulated","","","","31988283","details","","","","",""
"AC100830.4","gastric cancer","qPCR etc.","up-regulated","","","","29700972","details","","","","",""
"AC104699.1","gastric cancer","Microarray, qPCR etc.","up-regulated","","","","26045391","details","","","","",""
"AC130710","gastric cancer","qPCR etc.","up-regulated","","","","24969565","details","","","","",""
"AC138128.1","gastric cancer","qPCR etc.","down-regulated","","","","25260808","details","","","","",""
"acv3UTR","gastric cancer","RT-PCR, Western blot","up-regulated","","","","32066878","details","","","","",""
"ADAMTS9-AS2","gastric cancer","qPCR, Western blot","down-regulated","","","","32160650","details","","","","",""
"ADAMTS9-AS2","gastric cancer","qPCR, Western blot","down-regulated","","","","30089248","details","","","","",""
"ADPGK-AS1","gastric cancer","qPCR, Luciferase reporter assay, Western blot, RIP","up-regulated","","","","30944080","details","","","","",""
"AFAP1-AS1","gastric cancer","qRT-PCR","up-regulated","","","","32051698","details","","","","",""
"AFAP1-AS1","gastric cancer","qRT-PCR, Western blot, RIP","up-regulated","","","","32016968","details","","","","",""
"AFAP1-AS1","gastric cancer","qPCR, Western blot, in vitro knockdown","up-regulated","","","","29805596","details","","","","",""
"AFAP1-AS1","gastric cancer","qPCR etc.","up-regulated","","","","31785996","details","","","","",""
"AFAP1-AS1","gastric cancer","qRT-PCR etc.","down-regulated","","","","31086663","details","","","","",""
"AFAP1-AS1","gastric cancer","qPCR, other","up-regulated","","","","31452798","details","","","","",""
"AFAP1-AS1","gastric cancer","qPCR, Western blot, etc.","up-regulated","","","","28975981","details","","","","",""
"AFAP1-AS1","gastric cancer","qPCR, Western blot etc.","up-regulated","","","","28451917","details","","","","",""
"AFAP1-AS1","gastric cancer","qPCR, Western blot etc.","up-regulated","","","","29805596","details","","","","",""
"AFDN-DT","gastric cancer","RT-qPCR","up-regulated","","","","31981317","details","","","","",""
"AGAP2-AS1","gastric cancer","qPCR, RNAi, Western blot, RIP, ChIP, Luciferase reporter assay, Cell proliferation assay, Cell migration and invasion assay etc.","up-regulated","","","","28209205","details","","","","",""
"AI364715","gastric cancer","qPCR etc.","down-regulated","","","","25971582","details","","","","",""
"AK001058","gastric cancer","qPCR","up-regulated","","","","28423525","details","","","","",""
"AK001091","gastric cancer","Microarray, qPCR etc.","down-regulated","","","","27460075","details","","","","",""
"AK022798","gastric cancer","qPCR, Western blot etc.","up-regulated","","","","25763542","details","","","","",""
"AK022971","gastric cancer","Microarray, qPCR etc.","up-regulated","","","","24819045","details","","","","",""
"AK023391","gastric cancer","qPCR, Microarray, western blot","up-regulated","","","","29282102","details","","","","",""
"AK024171","gastric cancer","Microarray, qPCR etc.","down-regulated","","","","27460075","details","","","","",""
"AK027145","gastric cancer","Microarray, qPCR etc.","down-regulated","","","","28043146","details","","","","",""
"AK027294","gastric cancer","qPCR, Western blot","up-regulated","","","","31298327","details","","","","",""
"AK057054","gastric cancer","Microarray, qPCR etc.","down-regulated","","","","24819045","details","","","","",""
"AK093735","gastric cancer","Microarray, qPCR etc.","up-regulated","","","","27460075","details","","","","",""
"AK096174","gastric cancer","Microarray, qPCR, Western blot etc.","up-regulated","","","","29717028","details","","","","",""
"AK123072","gastric cancer","qPCR, Western blot etc.","up-regulated","","","","26884908","details","","","","",""
"AKR7L","gastric cancer","Microarray, qPCR, RNAi etc.","down-regulated","","","","25765901","details","","","","",""
"ANCR","gastric cancer","qRT-PCR, Western blot, RIP","up-regulated","","","","31894487","details","","","","",""
"ANRIL","gastric cancer","qPCR, Western blot","up-regulated","","","","30156609","details","","","","",""
"ANRIL","gastric cancer","qPCR, Western blot, other","up-regulated","","","","30431129","details","","","","",""
"ANRIL","gastric cancer","qPCR, Western blot","up-regulated","","","","31242038","details","","","","",""
"ANRIL","gastric cancer","qPCR, RNAi, Western blot, RIP etc.","up-regulated","","","","24810364","details","","","","",""
"ANRIL","gastric cancer","qPCR, RNAi, Western blot, Luciferase reporter assay, Cell proliferation assay etc.","up-regulated","","","","27027260","details","","","","",""
"ANRIL","gastric cancer","qPCR, RNAi etc.","up-regulated","","","","27121324","details","","","","",""
"AOC4P","gastric cancer","qRT-PCR, Western blot","up-regulated","","","","31696472","details","","","","",""
"AOC4P","gastrointestinal stromal tumor","qPCR, Western blot, RNAi, other","up-regulated","","","","30288061","details","","","","",""
"AOC4P","gastric cancer","Microarray, qPCR etc.","up-regulated","","","","28042329","details","","","","",""
"AP000459","gastric cancer","Microarray, qPCR etc.","down-regulated","","","","26718650","details","","","","",""
"AP001439.2","gastric cancer","Microarray, qPCR etc.","down-regulated","","","","26045391","details","","","","",""
"AP001626.1","gastric cancer","qPCR etc.","up-regulated","","","","29693709","details","","","","",""
"AP5M1","gastric cancer","qPCR, RNAi etc.","up-regulated","","","","29719612","details","","","","",""
"ARAP1-AS1","gastric cancer","RT-PCR","up-regulated","","","","32141550","details","","","","",""
"ARHGAP27P1","gastric cancer","RT-qPCR, Western blot, RIP","down-regulated","","","","31665700","details","","","","",""
"ARHGAP5-AS1","gastric cancer","qRT-PCR, RIP etc.","up-regulated","","","","31097692","details","","","","",""
"AWPPH","gastric cancer","qPCR, Western blot, Luciferase reporter assay, etc.","down-regulated","","","","31489578","details","","","","",""
"B3GALT5-AS1","gastric cancer","qPCR","up-regulated","","","","31338903","details","","","","",""
"BAN","gastric cancer","qRT-PCR, RIP","up-regulated","","","","31951095","details","","","","",""
"BANCR","gastric adenocarcinoma","qPCR, RNAi, Western blot, MTT assay etc.","up-regulated","","","","26248136","details","","","","",""
"BANCR","gastric cancer","RNA-seq, Microarray, RT-qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","29483646","details","","","","",""
"BANCR","gastric cancer","qPCR etc.","up-regulated","","","","26054683","details","","","","",""
"BANCR","gastric cancer","Microarray, qPCR etc.","up-regulated","","","","28042329","details","","","","",""
"BC003519","gastric cancer","Microarray, qPCR etc.","up-regulated","","","","27460075","details","","","","",""
"BC005927","gastric cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.","up-regulated","","","","29383777","details","","","","",""
"BC011663","gastric cancer","Microarray, qPCR etc.","down-regulated","","","","24819045","details","","","","",""
"BC015134","gastric cancer","Microarray, qPCR etc.","down-regulated","","","","25769450","details","","","","",""
"BC032469","gastric cancer","Microarray, qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","26549025","details","","","","",""
"BC040587","gastric cancer","Microarray, qPCR, RNAi etc.","down-regulated","","","","25765901","details","","","","",""
"BCAR4","gastric cancer","qPCR, Western blot etc","up-regulated","","","","32329841","details","","","","",""
"BCAR4","gastric cancer","Western blot","up-regulated","","","","29028095","details","","","","",""
"BCYRN1","gastric cancer","qPCR, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","31652309","details","","","","",""
"BCYRN1","gastric cancer","qPCR, Western blot","up-regulated","","","","29435146","details","","","","",""
"BG981369","gastric cancer","qRT-PCR, in vitro knockdown","up-regulated","","","","29398692","details","","","","",""
