"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"AATBC","nasopharyngeal cancer","Western blot, qRT-PCR, Luciferase reporter assay etc.","up-regulated","","","","32364663","details","","","","",""
"AB019562","hypopharyngeal squamous cell carcinoma","Microarray, qPCR etc.","up-regulated","","","","26131061","details","","","","",""
"AB209630","hypopharyngeal squamous cell carcinoma","Microarray, qPCR etc.","up-regulated","","","","26895099","details","","","","",""
"AB209630","hypopharyngeal squamous cell carcinoma","Microarray, qPCR etc.","down-regulated","","","","26131061","details","","","","",""
"AC007271.3","oral squamous cell carcinoma","RT-qPCR, Western blot","up-regulated","","","","31759044","details","","","","",""
"AC007271.3","oral squamous cell carcinoma","qPCR etc.","up-regulated","","","","29763905","details","","","","",""
"AC008440.10","laryngeal squamous cell cancer","qPCR","down-regulated","","","","29775753","details","","","","",""
"AC008440.10","laryngeal squamous cell cancer","qPCR etc.","down-regulated","","","","29775753","details","","","","",""
"AC026166.2-001","laryngeal squamous cell cancer","Microarray, qPCR etc.","down-regulated","","","","25243407","details","","","","",""
"AC026166.2-001","laryngeal squamous cell cancer","Microarray, qPCR, Western blot, Luciferase reporter assay, knockdown","down-regulated","","","","29463827","details","","","","",""
"ADAMTS9-AS2","tongue squamous cell carcinoma","qPCR, Microarray, Western blot","up-regulated","","","","30970517","details","","","","",""
"AF086415","nasopharyngeal cancer","Microarray, qPCR, RNAi etc.","down-regulated","","","","24379026","details","","","","",""
"AFAP1-AS1","laryngeal cancer","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","29971915","details","","","","",""
"AFAP1-AS1","oral squamous cell carcinoma","qRT-PCR, Western blot","up-regulated","","","","31875436","details","","","","",""
"AFAP1-AS1","nasopharyngeal cancer","qPCR, Western blot, Luciferase reporter assay, RNAi, other","up-regulated","","","","30326930","details","","","","",""
"AFAP1-AS1","tongue squamous cell carcinoma","qPCR, Western blot, in vitro knockdown","up-regulated","","","","29310682","details","","","","",""
"AFAP1-AS1","nasopharyngeal cancer","qPCR etc.","down-regulated","","","","28467811","details","","","","",""
