"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"7SK","hepatocellular carcinoma","Microarray, qPCR etc.","up-regulated","","","","27894309","details","","","","",""
"A1BG-AS1","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","down-regulated","","","","30556161","details","","","","",""
"AB019562","hepatocellular carcinoma","qPCR etc.","up-regulated","","","","28534955","details","","","","",""
"AB209630","hepatocellular carcinoma","qPCR, Western blot, etc.","up-regulated","","","","29042928","details","","","","",""
"AC073352.1","hepatocellular carcinoma","RNA-seq","up-regulated","","","","30916406","details","","","","",""
"AC092171.4","hepatocellular carcinoma","RNA-seq, qPCR etc.","up-regulated","","","","27499103","details","","","","",""
"ACTA2-AS1:4","liver cancer","qPCR, Western blot, etc.","up-regulated","","","","30664183","details","","","","",""
"ACVR2B-AS1","liver cancer","other","up-regulated","","","","31886217","details","","","","",""
"AF070632","hepatocellular carcinoma","Microarray, qPCR etc.","down-regulated","","","","26540467","details","","","","",""
"AF113014","hepatocellular carcinoma","qPCR, Western blot etc.","differential expression","","","","28542387","details","","","","",""
"AF119895","hepatocellular carcinoma","Microarray, qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","29274323","details","","","","",""
"AFAP1-AS1","cholangiocarcinoma","qPCR, Western blot","up-regulated","","","","28535506","details","","","","",""
"AFAP1-AS1","hepatocellular carcinoma","qPCR, Western blot, Flow cytometry assay etc.","up-regulated","","","","26892468","details","","","","",""
"AFAP1-AS1","cholangiocarcinoma","qPCR, Western blot, in vitro knockdown","up-regulated","","","","28938565","details","","","","",""
"AFAP1-AS1","hepatocellular carcinoma","qPCR, Western blot, Cell proliferation assay etc.","up-regulated","","","","26803513","details","","","","",""
"AGAP2-AS1","hepatocellular carcinoma","qRT-PCR , Luciferase reporter assay , Western blot , RIP , in vitro knockdown etc.","up-regulated","","","","31088485","details","","","","",""
