"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"AB073614","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","31298333","details","","","","",""
"AC004166.7","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","25089627","details","","","","",""
"AC005009.1","lung adenocarcinoma","Microarray, qPCR","up-regulated","","","","30151992","details","","","","",""
"AC007403.1","non small cell lung cancer","Microarray, qPCR etc.","up-regulated","","","","26393913","details","","","","",""
"AC008392.1","non small cell lung cancer","qPCR","differential expression","","","","29881308","details","","","","",""
"AC009411.1","lung adenocarcinoma","Microarray, qPCR","up-regulated","","","","30151992","details","","","","",""
"AC013264.2","non small cell lung cancer","Microarray, qPCR etc.","down-regulated","","","","25394782","details","","","","",""
"AC016683.6","lung cancer","qPCR","differential expression","","","","29997452","details","","","","",""
"AC020978","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP etc.","up-regulated","","","","32308748","details","","","","",""
"AC023824.1","lung adenocarcinoma","RNA-seq","differential expression","","","","31558162","details","","","","",""
"AC026904.1","lung cancer","qPCR, Western blot, Luciferase reporter assay etc","up-regulated","","","","32270919","details","","","","",""
"AC079776.2","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"AC090952.4.1","non small cell lung cancer","Microarray, qPCR, RNAi, Western blot etc.","down-regulated","","","","23741487","details","","","","",""
"AC138128.1","Lung Cancer","Microarray, qPCR","down-regulated","","","","31333777","details","","","","",""
"ADAMTS9-AS2","non small cell lung cancer","Microarray, qPCR etc.","down-regulated","","","","25590602","details","","","","",""
"ADAMTS9-AS2","lung cancer","Microarray, qPCR, Western blot etc","down-regulated","","","","29707897","details","","","","",""
"AF118081","lung cancer","qPCR, RNAi etc.","up-regulated","","","","25050996","details","","","","",""
"AF186192.1","lung adenocarcinoma","RNA-seq","differential expression","","","","31558162","details","","","","",""
"AFAP1-AS1","non small cell lung cancer","qPCR","up-regulated","","","","29963138","details","","","","",""
"AFAP1-AS1","non small cell lung cancer","RNA-seq, qPCR, Western blot, in vitro knockdown, RIP","up-regulated","","","","29793547","details","","","","",""
"AFAP1-AS1","non small cell lung cancer","RT-PCR, Luciferase Reporter Assay, RIP, Western blot analysis","up-regulated","","","","31696057","details","","","","",""
"AFAP1-AS1","non small cell lung cancer","qRT-PCR , RIP , Western blot , RNAi , in vitro knockdown etc.","up-regulated","","","","31069893","details","","","","",""
