"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"AB073614","epithelial ovarian cancer","qPCR, Western blot","up-regulated","","","","30909184","details","","","","",""
"AB073614","ovarian cancer","Microarray, qPCR, RNAi, Western blot, Flow cytometry assay etc.","up-regulated","","","","26299803","details","","","","",""
"AB209371","ovarian cancer","qRT-PCR , Western blot etc.","up-regulated","","","","31601255","details","","","","",""
"ABHD11-AS1","ovarian cancer","qRT-PCR , Western blot , RIP , in vitro knockdown etc.","up-regulated","","","","31568657","details","","","","",""
"ABHD11-AS1","ovarian cancer","qPCR, Western blot","up-regulated","","","","28818073","details","","","","",""
"AC093818.1","high grade ovarian serous cancer","Microarray, qPCR etc","up-regulated","","","","29577163","details","","","","",""
"ADAMTS9-AS2","ovarian cancer","qPCR, Western blot, Luciferase reporter assay, RIP, RNAi, other","down-regulated","","","","30268751","details","","","","",""
"AF086261","ovarian cancer","Microarray, qPCR","down-regulated","","","","30132558","details","","","","",""
"AF087976","ovarian cancer","Microarray, qPCR","down-regulated","","","","30132558","details","","","","",""
"AFAP1-AS1","ovarian cancer","qPCR, Flow cytometry assay, Cell proliferation assay etc.","up-regulated","","","","28051261","details","","","","",""
"AGAP2-AS1","ovarian cancer","qPCR","up-regulated","","","","31233485","details","","","","",""
"aHIF","epithelial ovarian cancer","qRT-PCR, Western blotting etc.","up-regulated","","","","31571921","details","","","","",""
"aHIF","epithelial ovarian cancer","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","30588022","details","","","","",""
"AK123324","ovarian cancer","Microarray, qPCR","down-regulated","","","","30132558","details","","","","",""
"AK130076","high grade ovarian serous cancer","Microarray, qPCR etc.","up-regulated","","","","29577163","details","","","","",""
"AL832916","ovarian cancer","Microarray, qPCR","down-regulated","","","","30132558","details","","","","",""
"ANRIL","ovarian cancer","qRT-PCR , Luciferase reporter assay , Western blot etc.","up-regulated","","","","31189742","details","","","","",""
"ANRIL","ovarian cancer","qPCR, Western blot etc.","up-regulated","","","","27095571","details","","","","",""
"AOC4P","ovarian cancer","qPCR, Western blot etc.","down-regulated","","","","32334623","details","","","","",""
"ASAP1-IT1","epithelial ovarian cancer","qPCR etc.","differential expression","","","","27667152","details","","","","",""
"AWPPH","ovarian cancer","qPCR","up-regulated","","","","30896797","details","","","","",""
"BACE1-AS","ovarian cancer","qPCR, Western blot, Northern blot, MTT assay etc.","up-regulated","","","","26783004","details","","","","",""
"BC041954","ovarian cancer","Microarray, qPCR","up-regulated","","","","30132558","details","","","","",""
"BC200","ovarian cancer","qPCR, RNAi etc.","down-regulated","","","","26893717","details","","","","",""
"BC200","ovarian cancer","Northern hybridization, ISH etc.","up-regulated","","","","9422992","details","","","","",""
