"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"AC009014.3","prostate cancer","RNA-seq, qPCR etc.","up-regulated","","","","29723810","details","","","","",""
"ADAMTS9-AS1","prostate cancer","qRT-PCR","differential expression","","","","32153626","details","","","","",""
"AFAP1-AS1","prostate cancer","qRT-PCR, RIP, Luciferase reporter gene assay, Western blot","up-regulated","","","","31669642","details","","","","",""
"AFAP1-AS1","prostate cancer","qRT-PCR , Western blot , in vitro knockdown etc.","up-regulated","","","","31081081","details","","","","",""
"AK024556","prostate cancer","Microarray, qPCR, RNAi etc.","up-regulated","","","","25513185","details","","","","",""
"ANRASSF1","prostate cancer","RNA-seq, qPCR, RNAi, Western blot, RIP, ChIP, Cell proliferation assay etc.","up-regulated","","","","23990798","details","","","","",""
"ANRIL","prostate cancer","qPCR etc.","up-regulated","","","","20541999","details","","","","",""
"ANRIL","prostate cancer","RT-PCR, Western blot, in vitro knockdown","up-regulated","","","","29278879","details","","","","",""
"ARlnc1","prostate cancer","RNA-seq, Microarray, qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RNAi, RIP","differential expression","","","","29808028","details","","","","",""
"ARlnc1","prostate cancer","RNA-seq, qPCR, Northern blot etc.","differential expression","","","","29808028","details","","","","",""
"BCAR4","prostate cancer","qPCR, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30513511","details","","","","",""
"BDNF-AS","prostate cancer","qPCR, in vitro knockdown etc.","down-regulated","","","","29710528","details","","","","",""
"BLACAT1","prostate cancer","RT-PCR, Western blotting, Luciferase Assays, RIP","down-regulated","","","","31957820","details","","","","",""
"BRE-AS1","prostate cancer","qPCR","down-regulated","","","","30833361","details","","","","",""
"BX647187","prostate cancer","qPCR, RNAi, Western blot, Northern blot etc.","differential expression","","","","26612002","details","","","","",""
"CASC15","prostate cancer","qPCR, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","31646560","details","","","","",""
"CASC2","prostate cancer","qPCR, Luciferase reporter assay, in vitro knockdown","down-regulated","","","","29373811","details","","","","",""
"Cat2184.4","prostate cancer","qPCR etc.","down-regulated","","","","29671889","details","","","","",""
"CCAT1","prostate cancer","qRT-PCR, Western blot","up-regulated","","","","32089062","details","","","","",""
"CCAT1","prostate cancer","qPCR, Western blot, in vitro knockdown","up-regulated","","","","29863242","details","","","","",""
"CCAT1","prostate cancer","qPCR, Western blot, Luciferase reporter assay, other","up-regulated","","","","30221381","details","","","","",""
"CCAT1","prostate cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","31387890","details","","","","",""
"CCAT1","prostate cancer","qPCR etc.","up-regulated","","","","28945760","details","","","","",""
