LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka
ADAMTS9-AS1,Prostate Cancer,qRT-PCR,differential expression,32153626,,2,"NR_110150.1, NR_110151.1","14, 14","14,14","0,0","0,0",VALIDATED,ADAMTS9 antisense RNA 1;ADAMTS9 antisense RNA 1 (non-protein coding);HSALNG0026576;NONHSAG035332.2;ADAMTS9-AS1
AFAP1-AS1,Prostate Cancer,"qRT-PCR, RIP, Luciferase reporter gene assay, Western blot",up-regulated,31669642,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Prostate Cancer,"qRT-PCR , Western blot , in vitro knockdown etc.",up-regulated,31081081,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS
"ANRASSF1 ",Prostate Cancer,"RNA-seq, qPCR, RNAi, Western blot, RIP, ChIP, Cell proliferation assay etc.",up-regulated,23990798,Also known as: RASSF1-AS1 ; ANRASSF1,1 (RASSF1-AS1) ,RASSF1-AS1 (NR_109831),11 (RASSF1-AS1) ,0,0,0,VALIDATED (RASSF1-AS1) ,ANRASSF1; RASSF1-AS1
"ANRIL",Prostate Cancer,qPCR etc.,up-regulated,20541999,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED (CDKN2B-AS1),ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Prostate Cancer,"RT-PCR, Western blot, in vitro knockdown",up-regulated,29278879,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED (CDKN2B-AS1),ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
ARlnc1,Prostate Cancer,"RNA-seq, Microarray, qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RNAi, RIP",differential expression,29808028,Also Known As: PRCAT47; LINC02170,2,"NR_131947.1, NR_131948.1","12, 12","12,12","0,0","0,0",VALIDATED,PRCAT47; LINC02170
ARlnc1,Prostate Cancer,"RNA-seq, qPCR, Northern blot etc.",differential expression,29808028,Also Known As: PRCAT47; LINC02170,2,"NR_131947.1, NR_131948.1","12, 12","12,12","0,0","0,0",VALIDATED,PRCAT47; LINC02170
BCAR4,Prostate Cancer,"qPCR, Luciferase reporter assay, in vitro knockdown, etc.",up-regulated,30513511,,5,"NR_024049.1, NR_024050.1, NR_131216.1, NR_131217.1, NR_131222.1","5, 2, 1, 2, 2","5,2,1,2,2","0,0,0,0,0","0,0,0,0,0",VALIDATED,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BDNF-AS,Prostate Cancer,"qPCR, in vitro knockdown etc.",down-regulated,29710528,Also Known As: BDNF-AS; BDNF; BDNFAS; BDNFOS; BDNF-AS1; ANTI-BDNF; NCRNA00049,"5 (BDNF-AS_Variant BT1A, BT1B, BT1C, BT2A, BT2B)","BDNF-AS_Variant BT1A, BT1B, BT1C, BT2A, BT2B (NR_033313.1, NR_033315.1, NR_033312.1, NR_033314.1, NR_002832.2 respectively)","3, 5, 7, 8, 10 (BDNF-AS_Variant BT1A, BT1B, BT1C, BT2A, BT2B)","3,5,7,7,9","0,0,0,1,1","0,0,0,0,0",VALIDATED,BDNF; BDNFAS; BDNFOS; BDNF-AS1; ANTI-BDNF; NCRNA00049
