,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
0,NR_026690.1,8,0,0
1,NR_026690.1,8,0,0
2,NR_038264.1,11,1,0
3,NR_026892.1,36,1,0
4,NR_027032.1,12,4,0
5,NR_045406.1,1,0,0
6,NR_045406.1,1,0,0
7,NR_003529.3,21,0,0
8,NR_047532.1,16,0,0
9,NR_047543.1,10,0,0
10,NR_047534.1,10,0,0
11,NR_047535.1,9,0,0
12,NR_047536.1,7,0,0
13,NR_047537.1,9,0,0
14,NR_047538.1,7,0,0
15,NR_047539.1,17,0,0
16,NR_047540.1,10,0,0
17,NR_047541.1,10,0,0
18,NR_047542.1,8,0,0
19,NR_047533.1,6,0,0
20,NR_120536.1,6,0,0
21,NR_003529.3,21,0,0
22,NR_047532.1,16,0,0
23,NR_047543.1,10,0,0
24,NR_047534.1,10,0,0
25,NR_047535.1,9,0,0
26,NR_047536.1,7,0,0
27,NR_047537.1,9,0,0
28,NR_047538.1,7,0,0
29,NR_047539.1,17,0,0
30,NR_047540.1,10,0,0
31,NR_047541.1,10,0,0
32,NR_047542.1,8,0,0
33,NR_047533.1,6,0,0
34,NR_120536.1,6,0,0
35,NR_002765.2,5,0,0
36,NR_015395.2,23,0,0
37,NR_024373.2,5,0,0
38,NR_136161.1,10,0,0
39,NR_136162.1,24,0,0
40,NR_136163.1,15,0,0
41,NR_136164.1,10,0,0
42,NR_136165.1,8,0,0
43,NR_136166.1,21,0,0
44,NR_037803.2,6,1,0
45,NR_001568.1,2,0,0
46,NR_001568.1,2,0,0
47,NR_103783.1,21,0,0
48,NR_028502.1,20,2,0
49,NR_028503.1,15,1,0
50,NR_028504.1,9,1,0
51,NR_028505.1,9,1,0
52,NR_015410.2,18,0,0
53,NR_015410.2,18,0,0
54,NR_026939.1,15,2,0
55,NR_026940.1,15,2,0
56,NR_026941.1,7,2,0
57,NR_026939.1,15,2,0
58,NR_026940.1,15,2,0
59,NR_026941.1,7,2,0
60,NR_108049.1,9,0,0
61,NR_108049.1,9,0,0
62,NR_108049.1,9,0,0
63,NR_108049.1,9,0,0
64,NR_108049.1,9,0,0
65,NR_109834.1,6,0,0
66,NR_109834.1,6,0,0
67,NR_109834.1,6,0,0
68,NR_109834.1,6,0,0
69,NR_002763.2,7,0,0
70,NR_034105.4,5,0,0
71,NR_034106.3,7,2,0
72,NR_110453.2,5,0,0
73,NR_110454.2,7,2,0
74,NR_170995.1,7,2,0
75,NR_147507.1,8,3,0
76,NR_024031.2,5,1,0
77,NR_145129.1,6,1,0
78,NR_145130.1,6,1,0
79,NR_024031.2,5,1,0
80,NR_145129.1,6,1,0
81,NR_145130.1,6,1,0
82,NR_024031.2,5,1,0
83,NR_145129.1,6,1,0
84,NR_145130.1,6,1,0
85,NR_110199.1,8,0,0
86,NR_110200.1,8,0,0
87,NR_109973.1,10,0,0
88,NR_002605.2,9,0,0
89,NR_109974.1,8,0,0
90,NR_015448.1,9,0,0
91,NR_015448.1,9,0,0
92,NR_038397.2,20,2,0
93,NR_103486.1,10,0,0
94,NR_038896.1,12,0,0
95,NR_038898.1,7,0,0
96,NR_038899.1,8,0,0
97,NR_038900.1,7,0,0
98,NR_110526.1,12,0,0
99,NR_123739.1,11,0,0
100,NR_002791.2,55,1,0
101,NR_144378.1,52,1,0
102,NR_027706.1,15,2,0
103,NR_026949.1,14,1,0
104,NR_051960.1,8,0,0
105,NR_051960.1,8,0,0
106,NR_051960.1,8,0,0
107,NR_026770.1,9,0,0
108,NR_028371.1,5,0,0
109,NR_119376.1,83,2,0
110,NR_036484.1,21,1,0
111,NR_036484.1,21,1,0
112,NR_028351.1,15,0,0
113,NR_027285.1,7,1,0
114,NR_027286.1,4,1,0
115,NR_002578.3,5,0,0
116,NR_152521.1,6,0,0
117,NR_152522.1,5,0,0
118,NR_152523.1,5,0,0
119,NR_152524.1,5,0,0
120,NR_152525.1,5,0,0
121,NR_152526.1,5,0,0
122,NR_152527.1,3,0,0
123,NR_152528.1,4,0,0
124,NR_152529.1,3,0,0
125,NR_152530.1,5,0,0
126,NR_152531.1,5,0,0
127,NR_152532.1,5,0,0
128,NR_152533.1,5,0,0
129,NR_152534.1,5,0,0
130,NR_002578.3,5,0,0
131,NR_152521.1,6,0,0
132,NR_152522.1,5,0,0
133,NR_152523.1,5,0,0
134,NR_152524.1,5,0,0
135,NR_152525.1,5,0,0
136,NR_152526.1,5,0,0
137,NR_152527.1,3,0,0
138,NR_152528.1,4,0,0
139,NR_152529.1,3,0,0
140,NR_152530.1,5,0,0
141,NR_152531.1,5,0,0
142,NR_152532.1,5,0,0
143,NR_152533.1,5,0,0
144,NR_152534.1,5,0,0
145,NR_002578.3,5,0,0
146,NR_152521.1,6,0,0
147,NR_152522.1,5,0,0
148,NR_152523.1,5,0,0
149,NR_152524.1,5,0,0
150,NR_152525.1,5,0,0
151,NR_152526.1,5,0,0
152,NR_152527.1,3,0,0
153,NR_152528.1,4,0,0
154,NR_152529.1,3,0,0
155,NR_152530.1,5,0,0
156,NR_152531.1,5,0,0
157,NR_152532.1,5,0,0
158,NR_152533.1,5,0,0
