,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
0,NR_026690.1,8,0,0
1,NR_026690.1,8,0,0
2,NR_038264.1,11,1,0
3,NR_038264.1,11,1,0
4,NR_040107.1,22,2,0
5,NR_026892.1,36,1,0
6,NR_026892.1,36,1,0
7,NR_026892.1,36,1,0
8,NR_026892.1,36,1,0
9,NR_026892.1,36,1,0
10,NR_026892.1,36,1,0
11,NR_026892.1,36,1,0
12,NR_026892.1,36,1,0
13,NR_026892.1,36,1,0
14,NR_027906.1,14,11,0
15,NR_027032.1,12,4,0
16,NR_003529.3,5,1,0
17,NR_047532.1,6,1,0
18,NR_047543.1,6,1,0
19,NR_003529.3,21,0,0
20,NR_047532.1,16,0,0
21,NR_047543.1,10,0,0
22,NR_047534.1,10,0,0
23,NR_047535.1,9,0,0
24,NR_047536.1,7,0,0
25,NR_047537.1,9,0,0
26,NR_047538.1,7,0,0
27,NR_047539.1,17,0,0
28,NR_047540.1,10,0,0
29,NR_047541.1,10,0,0
30,NR_047542.1,8,0,0
31,NR_047533.1,6,0,0
32,NR_120536.1,6,0,0
33,NR_003529.3,21,0,0
34,NR_047532.1,16,0,0
35,NR_047543.1,10,0,0
36,NR_047534.1,10,0,0
37,NR_047535.1,9,0,0
38,NR_047536.1,7,0,0
39,NR_047537.1,9,0,0
40,NR_047538.1,7,0,0
41,NR_047539.1,17,0,0
42,NR_047540.1,10,0,0
43,NR_047541.1,10,0,0
44,NR_047542.1,8,0,0
45,NR_047533.1,6,0,0
46,NR_120536.1,6,0,0
47,NR_003529.3,21,0,0
48,NR_047532.1,16,0,0
49,NR_047543.1,10,0,0
50,NR_047534.1,10,0,0
51,NR_047535.1,9,0,0
52,NR_047536.1,7,0,0
53,NR_047537.1,9,0,0
54,NR_047538.1,7,0,0
55,NR_047539.1,17,0,0
56,NR_047540.1,10,0,0
57,NR_047541.1,10,0,0
58,NR_047542.1,8,0,0
59,NR_047533.1,6,0,0
60,NR_120536.1,6,0,0
61,NR_003529.3,21,0,0
62,NR_047532.1,16,0,0
63,NR_047543.1,10,0,0
64,NR_047534.1,10,0,0
65,NR_047535.1,9,0,0
66,NR_047536.1,7,0,0
67,NR_047537.1,9,0,0
68,NR_047538.1,7,0,0
69,NR_047539.1,17,0,0
70,NR_047540.1,10,0,0
71,NR_047541.1,10,0,0
72,NR_047542.1,8,0,0
73,NR_047533.1,6,0,0
74,NR_120536.1,6,0,0
75,NR_003529.3,21,0,0
76,NR_047532.1,16,0,0
77,NR_047543.1,10,0,0
78,NR_047534.1,10,0,0
79,NR_047535.1,9,0,0
80,NR_047536.1,7,0,0
81,NR_047537.1,9,0,0
82,NR_047538.1,7,0,0
83,NR_047539.1,17,0,0
84,NR_047540.1,10,0,0
85,NR_047541.1,10,0,0
86,NR_047542.1,8,0,0
87,NR_047533.1,6,0,0
88,NR_120536.1,6,0,0
89,NR_027263.1,21,0,0
90,NR_047671.2,5,1,0
91,NR_047671.2,23,0,0
92,NR_047671.2,15,1,0
93,NR_024049.1,4,0,0
94,NR_024049.1,4,0,0
95,NR_001568.1,4,0,0
96,NR_001568.1,4,0,0
97,NR_103783.1,5,0,0
98,NR_038904.1,5,0,0
99,NR_151723.1,2,0,0
100,NR_026812.1,2,0,0
101,NR_105049.1,21,0,0
102,NR_105049.1,10,0,0
103,NR_108049.1,4,0,0
104,NR_117101.1,9,1,0
105,NR_015410.2,8,1,0
106,NR_015410.2,8,1,0
107,NR_015410.2,9,0,0
108,NR_120364.1,0,0,0
109,NR_026939.1,18,0,0
110,NR_026940.1,15,15,15
111,NR_026939.1,18,0,0
112,NR_026940.1,15,15,15
113,NR_026939.1,18,0,0
114,NR_026940.1,15,15,15
115,NR_026939.1,2,0,0
116,NR_103848.1,15,2,0
117,NR_103850.2,15,2,0
118,NR_103849.2,7,2,0
119,NR_103848.1,15,2,0
120,NR_103850.2,15,2,0
121,NR_103849.2,7,2,0
122,NR_038892.1,15,2,0
123,NR_038893.1,15,2,0
124,NR_038894.1,7,2,0
125,NR_108049.1,15,2,0
126,NR_108049.1,5,0,0
127,NR_108049.1,5,0,0
128,NR_108049.1,10,0,0
129,NR_108049.1,9,0,0
130,NR_108049.1,9,0,0
131,NR_108049.1,9,0,0
132,NR_108049.1,9,0,0
133,NR_109834.1,9,0,0
134,NR_109834.1,9,0,0
135,NR_109834.1,9,0,0
136,NR_109834.1,9,0,0
137,NR_109834.1,6,0,0
138,NR_109834.1,6,0,0
139,NR_130917.1,6,0,0
140,NR_130917.1,6,0,0
141,NR_131782.1,6,0,0
142,NR_131782.1,6,0,0
143,NR_026887.2,5,0,0
144,NR_027118.2,6,0,0
145,NR_027119.2,7,0,0
146,NR_026887.2,5,0,0
147,NR_027118.2,6,0,0
148,NR_027119.2,7,0,0
149,NR_134505.1,17,0,0
150,NR_034105.4,17,0,0
151,NR_034105.4,20,1,0
152,NR_034106.3,7,0,0
153,NR_105049.1,20,1,0
154,NR_105050.1,7,0,0
155,NR_105049.1,9,0,0
156,NR_024031.2,5,0,0
157,NR_145129.1,7,2,0
158,NR_145130.1,5,0,0
