"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"AB073614","cervical cancer","qPCR","up-regulated","","","","30964162","details","","","","",""
"AC017078.1","cervical cancer","qPCR, Microarray, other","down-regulated","","","","30410863","details","","","","",""
"AC024560.2","cervical cancer","Microarray, qPCR etc.","differential expression","","","","27035672","details","","","","",""
"AFAP1-AS1","Cervical Cancer","RNA-seq","up-regulated","","","","30816545","details","","","","",""
"AL592284.1","cervical cancer","qPCR","up-regulated","","","","30134241","details","","","","",""
"ANRASSF1","cervical cancer","RNA-seq, qPCR, RNAi, Western blot, RIP, ChIP, Cell proliferation assay etc.","differential expression","","","","23990798","details","","","","",""
"ANRIL","cervical cancer","qPCR, RNAi etc.","up-regulated","","","","26408699","details","","","","",""
"ANRIL","cervical cancer","qPCR etc.","up-regulated","","","","22487937","details","","","","",""
"ANRIL","cervical cancer","qPCR, Luciferase Reporter Assay","up-regulated","","","","28550682","details","","","","",""
"ANRIL","cervical cancer","qPCR, RNAi, Western blot, Cell proliferation assay etc.","up-regulated","","","","27899255","details","","","","",""
"ARAP1-AS1","cervical cancer","qRT-PCR, western blot, RIP, Luciferase reporter assay","up-regulated","","","","31953923","details","","","","",""
"ASB16-AS1","cervical cancer","qRT-PCR, Western blot","up-regulated","","","","32058219","details","","","","",""
"ASK00420","cervical cancer","Microarray, qPCR, RNAi, Western blot, RIP etc.","down-regulated","","","","25007342","details","","","","",""
"AX748340","cervical cancer","Microarray, qPCR etc.","up-regulated","","","","26054679","details","","","","",""
"BC200","cervical cancer","Northern hybridization, ISH etc.","up-regulated","","","","9422992","details","","","","",""
"BCAR4","cervical cancer","qPCR, Western blot, in vitro knockdown","up-regulated","","","","29937186","details","","","","",""
"BCAR4","cervical cancer","qPCR, Western blot, etc.","up-regulated","","","","29937186","details","","","","",""
"BCYRN1","cervical cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.","up-regulated","","","","29552212","details","","","","",""
"BDLNR","cervical cancer","qPCR, Western blot, RIP","up-regulated","","","","29175387","details","","","","",""
"BLACAT1","cervical squamous cell carcinoma","RT-PCR","up-regulated","","","","32046460","details","","","","",""
"BLACAT1","cervical cancer","qPCR, Western blot","up-regulated","","","","29863244","details","","","","",""
"BLACAT1","cervical cancer","qPCR, Western blot, in vitro knockdown","up-regulated","","","","29456724","details","","","","",""
"BLACAT1","cervical cancer","qPCR, RNAi, Western blot etc.","up-regulated","","","","29863244","details","","","","",""
"C5orf66-AS1","cervical cancer","qPCR, Western blot, Luciferase reporter assay, RIP, etc.","up-regulated","","","","30518760","details","","","","",""
"CALML3-AS1","cervical cancer","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","31298313","details","","","","",""
"CAR10","cervical cancer","RT-qPCR, Western blot","up-regulated","","","","32025520","details","","","","",""
"CASC11","cervical cancer","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","31255182","details","","","","",""
"CASC15","cervical cancer","RT-qPCR, RIP","up-regulated","","","","32016962","details","","","","",""
"CASC15","Cervical Cancer","qPCR","up-regulated","","","","30720157","details","","","","",""
"CASC2","cervical cancer","qRT-PCR , Western blot etc.","down-regulated","","","","31081078","details","","","","",""
"CASC2","cervical cancer","qPCR, Western blot, Luciferase Reporter Assays","down-regulated","","","","28495512","details","","","","",""
"CASC9","cervical cancer","RIP, Western blot , RT-qPCR etc.","down-regulated","","","","31178137","details","","","","",""
"CCAT1","cervical cancer","qRT-PCR, Western blot","up-regulated","","","","31935379","details","","","","",""
"CCAT1","cervical cancer","qRT-PCR , in vitro knockdown etc.","up-regulated","","","","31084453","details","","","","",""
"CCAT1","cervical cancer","qPCR etc.","up-regulated","","","","28849215","details","","","","",""
"CCAT1","cervical cancer","qPCR, Western blot etc.","up-regulated","","","","28978096","details","","","","",""
"CCAT2","cervical cancer","qPCR, RNAi, Flow cytometry assay, Cell proliferation assay etc.","down-regulated","","","","26983975","details","","","","",""
"CCAT2","cervical squamous cell carcinoma","qPCR etc.","up-regulated","","","","26722527","details","","","","",""
"CCEPR","cervical cancer","qPCR, Western blot etc.","up-regulated","","","","29427865","details","","","","",""
"CCHE1","cervical cancer","qPCR","up-regulated","","","","31364021","details","","","","",""
"CCHE1","cervical cancer","qPCR etc.","up-regulated","","","","28239824","details","","","","",""
"CCHE1","cervical cancer","qPCR, RNAi, Western blot, RNA pull-down assay etc.","up-regulated","","","","25921283","details","","","","",""
"CDKN2B-AS1","cervical cancer","qPCR, Luciferase reporter assay, Western blot","up-regulated","","","","30884187","details","","","","",""
"circ8924","cervical cancer","qPCR, western blot, luciferase reporter assay, other","up-regulated","","","","30007986","details","","","","",""
"circ_0000263","cervical cancer","qPCR, luciferase reporter assay, RIP","up-regulated","","","","30569515","details","","","","",""
"circ_0000285","cervical cancer","qPCR, western blot, CCK-8","up-regulated","","","","31696463","details","","","","",""
"circ_0000388","cervical cancer","qPCR, western blot, RNA immunoprecipitation assay, and luciferase reporter assay","up-regulated","","","","32119786","details","","","","",""
"circ_0000515","cervical cancer","qPCR, Dual luciferase reporter assay, RNA pull-down and RIP assays","up-regulated","","","","31772143","details","","","","",""
"circ_0000745","cervical cancer","qRT-PCR , circRNA Microarray , western blot , cell viability assay and apoptosis assay , cell migration and invasion assay","up-regulated","","","","31256433","details","","","","",""
"circ_0001038","cervical cancer","qPCR, Loss/Gain-of function assays","up-regulated","","","","31809842","details","","","","",""
"circ_000284","cervical cancer","qPCR, western blot, luciferase reporter assay, RIP, other","up-regulated","","","","29511454","details","","","","",""
"circ_0005576","cervical cancer","qPCR","up-regulated","","","","31545253","details","","","","",""
