LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1,aka
ADAMTS9-AS1,prostate cancer,qRT-PCR,differential expression,32153626.0,,2,"NR_110150.1, NR_110151.1","14, 14","14,14","0, 0","0,0",VALIDATED,,,,,,,ADAMTS9 antisense RNA 1;ADAMTS9 antisense RNA 1 (non-protein coding);HSALNG0026576;NONHSAG035332.2;ADAMTS9-AS1
AFAP1-AS1,prostate cancer,"qRT-PCR, RIP, Luciferase reporter gene assay, Western blot",up-regulated,31669642.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,,,,,,,AFAP1AS; AFAP1-AS
AFAP1-AS1,prostate cancer,"qRT-PCR , Western blot , in vitro knockdown etc.",up-regulated,31081081.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,,,,,,,AFAP1AS; AFAP1-AS
"ANRASSF1 
RASSF1-AS1",prostate cancer,"RNA-seq, qPCR, RNAi, Western blot, RIP, ChIP, Cell proliferation assay etc.",up-regulated,23990798.0,Also known as: RASSF1-AS1 ; ANRASSF1,1 (RASSF1-AS1) ,RASSF1-AS1 (NR_109831),11 (RASSF1-AS1) ,8 (RASSF1-AS1) ,3 (RASSF1-AS1) ,0 (RASSF1-AS1) ,VALIDATED (RASSF1-AS1) ,"10 (2-3G, 2-2G, 6-C-rich)","['0.911, 0.911 (3G); 0.82, 0.92 (2G); '-0.911, -0.872, -0.911, -0.683, -0.854, -0.924 (C-rich)]",The PQS 1 (3G) of QGRS mapper  is similar to / a part of PQS 1  (3G) of G4 Hunter,0,0,No PQS found in G4 hunter,ANRASSF1
"ANRIL
CDKN2B-AS1",prostate cancer,qPCR etc.,up-regulated,20541999.0,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)",REVIEWED (CDKN2B-AS1),"1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);",-0.829 (C-rich),No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
"ANRIL
CDKN2B-AS1",prostate cancer,"RT-PCR, Western blot, in vitro knockdown",up-regulated,29278879.0,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)",REVIEWED (CDKN2B-AS1),"1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);",-0.829 (C-rich),No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ARlnc1,prostate cancer,"RNA-seq, Microarray, qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RNAi, RIP",differential expression,29808028.0,Also Known As: PRCAT47; LINC02170,2,"NR_131947.1, NR_131948.1","12, 12","2, 2","0, 0","0, 0",VALIDATED,"2 (C-rich);
0","[-0.88, -0.872 (C-rich)];
0",No similarity to any PQS (2G) from QGRS mapper,"0;
0","0;
0",No PQS found in G4 Hunter,PRCAT47; LINC02170
ARlnc1,prostate cancer,"RNA-seq, qPCR, Northern blot etc.",differential expression,29808028.0,Also Known As: PRCAT47; LINC02170,2,"NR_131947.1, NR_131948.1","12, 12","2, 2","0, 0","0, 0",VALIDATED,"2 (C-rich);
0","[-0.88, -0.872 (C-rich)];
0",No similarity to any PQS (2G) from QGRS mapper,"0;
0","0;
0",No PQS found in G4 Hunter,PRCAT47; LINC02170
BCAR4,prostate cancer,"qPCR, Luciferase reporter assay, in vitro knockdown, etc.",up-regulated,30513511.0,,5,"NR_024049.1, NR_024050.1, NR_131216.1, NR_131217.1, NR_131222.1","5, 2, 1, 2, 2","5, 2, 1, 2, 2","0, 0, 0, 0, 0","0, 0, 0, 0, 0",VALIDATED,0,0,No PQS found in G4 Hunter,0,0,No PQS found in G4 hunter,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BDNF-AS,prostate cancer,"qPCR, in vitro knockdown etc.",down-regulated,29710528.0,Also Known As: BDNF-AS; BDNF; BDNFAS; BDNFOS; BDNF-AS1; ANTI-BDNF; NCRNA00049,"5 (BDNF-AS_Variant BT1A, BT1B, BT1C, BT2A, BT2B)","BDNF-AS_Variant BT1A, BT1B, BT1C, BT2A, BT2B (NR_033313.1, NR_033315.1, NR_033312.1, NR_033314.1, NR_002832.2 respectively)","3, 5, 7, 8, 10 (BDNF-AS_Variant BT1A, BT1B, BT1C, BT2A, BT2B)","3, 5, 7, 7, 9 (BDNF-AS_Variant BT1A, BT1B, BT1C, BT2A, BT2B)","0, 0, 0, 1, 1 (BDNF-AS_Variant BT1A, BT1B, BT1C, BT2A, BT2B)","0, 0, 0, 0, 0 (BDNF-AS_Variant BT1A, BT1B, BT1C, BT2A, BT2B)",VALIDATED,"0;
0;
0;
2 (2G);
2 (2G)","0;
0;
0;
[0.571, 0.889 (2G)];
[0.571, 0.889 (2G)]",No similarity to any PQS (2G) from QGRS mapper,0; 0; 0; 0; 0,0; 0; 0; 0; 0,No PQS found in G4 Hunter,BDNF; BDNFAS; BDNFOS; BDNF-AS1; ANTI-BDNF; NCRNA00049
BLACAT1,prostate cancer,"RT-PCR, Western blotting, Luciferase Assays, RIP",down-regulated,31957820.0,Also Known As: BLACAT1; LINC00912; linc-UBC1; onco-lncRNA-30,1,NR_103783.1,21,21,0,0,VALIDATED,"6 (2-2G, 4-C-rich)","[0.821,0.922 (2G); '-0.815, 0.603, '-, -0.938, -0.891 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
"BRE-AS1 
BABAM2-AS1",prostate cancer,qPCR,down-regulated,30833361.0,Also Known As: BABAM2-AS1; BRE-AS1,1 (BABAM2-AS1),BABAM2-AS1 (NR_028308.1),16 (BABAM2-AS1),12 (BABAM2-AS1),4 (BABAM2-AS1),0 (BABAM2-AS1),VALIDATED (BABAM2-AS1),"20 (4-2G, 8-3G, 8-C-rich)  ","[0.875, 0.913, 0.78, 
0.854 (2G); 0.875, 0.897,
0.929, 0.911, 0.915, 
0.778, 0.938, 0.911, 
0.953 (3G); -0.913, 
-0.938, -0.882, -0.652,
-0.1.053, -0.933, -0.913, -0.898 (C-rich)]
","The PQS 1 (3G) of QGRS Mapper is similar to / a part of PQS 1 (3G) of G4 Hunter, with a right frame-shift in G4 Hunter

 PQS 3 (3G) of QGRS  Mapper is similar to / a part of PQS 8 (3G) of G4 Hunter. , with a right frame-shift in G4 Hunter

By looking at all the PQS, it is visible that there is a slight overlap between PQS 2,3,4 and PQS 5,6,7 (3G) and can be considered as two PQS.","2 (1-C-rich, 1-3G)","[-1.208 (C-rich);
1.4 (3G)","PQS 1 (3G) of QGRS Mapper 
is similar to / a part of PQS 1 (3G) of G4 
Hunter, with a right frame-shift in G4 Hunter",BRE-AS1
CASC15,prostate cancer,"qPCR, Luciferase reporter assay, in vitro knockdown",up-regulated,31646560.0,Also Known As: CACS15 [mentioned in title of paper (PubMed-31665008) refereed in NR_015410.2]; CASC15; CANT; LINC00340; lnc-SOX4-1,1,NR_015410.2,18,18,0,0,REVIEWED,0,0,,0,0,No PQS found in G4 hunter,CANT; LINC00340; lnc-SOX4-1
CASC2,prostate cancer,"qPCR, Luciferase reporter assay, in vitro knockdown",down-regulated,29373811.0,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17, 17, 9","15, 15, 7","2, 2, 2","0, 0, 0",VALIDATED,"7 (4- 3G, 3-2G);
7 (4- 3G, 3-2G);
6 (4 -3G, 2-2G)","[1.043, 0.746, 0.956, 0.956 (3G) 0.933, 0.891 0.707(2G)] ;

[1.043, 0.746, 0.956, 0.956 (3G) 0.933, 0.891 0.707(2G)] ;

[1.043, 0.746, 0.956, 0.956 (3G) 0.933, 0.891 (2G)]","PQS 1 (3G) of QGRS mapper is similar to / a part of PQS 2 (3G) from G4 hunter

PQS 2 (3G) of QGRS mapper  is similar to / a part of PQS 3 (3G) of G4 hunter","0,0,0","0,0,0",No PQS found in G4 hunter,C10orf5
CCAT1,prostate cancer,"qRT-PCR, Western blot",up-regulated,32089062.0,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,prostate cancer,"qPCR, Western blot, in vitro knockdown",up-regulated,29863242.0,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,prostate cancer,"qPCR, Western blot, Luciferase reporter assay, other",up-regulated,30221381.0,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,prostate cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP",up-regulated,31387890.0,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,prostate cancer,qPCR etc.,up-regulated,28945760.0,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,prostate cancer,qPCR etc.,up-regulated,29863242.0,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter,CARLO5; CARLo-5; onco-lncRNA-40
CCAT2,prostate cancer,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",up-regulated,27558961.0,"Also Known As: NCCP1; LINC00873

Some (older-not checked for PQS) CCAT2 short and long variants ncRNA; ""other"" ncRNA (complete sequence - GQ911591.1 and GQ911592.1 respectively) were also there in result.",1,NR_109834.1,6,6,0,0,REVIEWED,0,0,,0,0,No PQS found in G4 hunter,NCCP1; LINC00873
CRNDE,prostate cancer,"qPCR, Luciferase reporter assay etc",up-regulated,32182608.0,Also Known As: CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,5,"NR_034105.4, NR_034106.3, NR_110453.2, NR_110454.2, NR_170995.1","5, 9, 5, 9, 9","5, 7, 5, 7, 7","0, 2, 0, 2, 2","0, 0, 0, 0, 0",VALIDATED,"0
5 (2-C-rich, 3-3G)
0
5 (2-C-rich, 3-3G)
5 (2-C-rich, 3-3G)","[-0.855, -0.8 (C-rich), 0.898, 0.911, 0.657(3G)] ;

[-0.855, -0.8 (C-rich) 0.898, 0.911, 0.657(3G)]; 

[-0.855, -0.8 (C-rich) 0.898, 0.911, 0.657(3G)]; ","The PQS 2 (3G) of QGRS mapper is similar to / a part of PQS 1 (3G) of G4 hunter, with a left frame shift in G4 hunter.

By looking at all 3 PQS (3G) from G4 hunter, it appears that at a time only 1 PQS can be formed as all the 3 PQS have few common G-tracts due to overlap amongst them.

The above situation is same for all the variants","0,0,0,0,0","0,0,0,0,0",No PQS found in G4 hunter,CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180
