LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka
ABHD11-AS1,Gastric Cancer,qPCR etc.,up-regulated,26280398,Also Known As: WBSCR26; LINC00035; NCRNA00035,1,NR_026690.1,8,8,0,0,VALIDATED,WBSCR26; LINC00035; NCRNA00035
ABHD11-AS1,Gastric Cancer,qPCR etc.,up-regulated,24984296,Also Known As: WBSCR26; LINC00035; NCRNA00035,1,NR_026690.1,8,8,0,0,VALIDATED,WBSCR26; LINC00035; NCRNA00035
ADAMTS9-AS2,Gastric Cancer,"qPCR, Western blot",down-regulated,32160650,,1,NR_038264.1,12,11,1,0,VALIDATED,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585
ADAMTS9-AS2,Gastric Cancer,"qPCR, Western blot",down-regulated,30089248,,1,NR_038264.1,12,11,1,0,VALIDATED,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585
ADPGK-AS1,Gastric Cancer,"qPCR, Luciferase reporter assay, Western blot, RIP",up-regulated,30944080,,1,NR_040107.1,24,22,2,0,VALIDATED,ADPGK antisense RNA 1;ADPGK antisense RNA 1 (non-protein coding);NONHSAG017366.2;ADPGK-AS1;HSALNG0107094
AFAP1-AS1,Gastric Cancer,qRT-PCR,up-regulated,32051698,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,"qRT-PCR, Western blot, RIP",up-regulated,32016968,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,"qPCR, Western blot, in vitro knockdown",up-regulated,29805596,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,qPCR etc.,up-regulated,31785996,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,qRT-PCR etc.,down-regulated,31086663,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,"qPCR, other",up-regulated,31452798,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,"qPCR, Western blot, etc.",up-regulated,28975981,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,"qPCR, Western blot etc.",up-regulated,28451917,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,"qPCR, Western blot etc.",up-regulated,29805596,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS
AFDN-DT,Gastric Cancer,RT-qPCR,up-regulated,31981317,"Also Known As: HGC6.4; AFDN-AS1; C6orf124; MLLT4-AS1; dJ431P23.3

Some QGRS Sequences are repeated multiple times throughout the RNA",1,NR_027906.1,25,14,11,0,VALIDATED,HGC6.4; XBP1SBM; AFDN-AS1; C6orf124; MLLT4-AS1; dJ431P23.3
AGAP2-AS1,Gastric Cancer,"qPCR, RNAi, Western blot, RIP, ChIP, Luciferase reporter assay, Cell proliferation assay, Cell migration and invasion assay etc.",up-regulated,28209205,Also Known As: PUNISHER,1,NR_027032.1,16,12,4,0,VALIDATED,PUNISHER
