LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1
AFAP1-AS1,cervical cancer,RNA-seq,up-regulated,30816545,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter
ANRASSF1,cervical cancer,"RNA-seq, qPCR, RNAi, Western blot, RIP, ChIP, Cell proliferation assay etc.",differential expression,23990798,Also known as: RASSF1-AS1,1,NR_109831.1,11,8,3,0,VALIDATED,"10 (2-3G, 2-2G, 6-C-rich)","['0.911, 0.911 (3G); 0.82, 0.92 (2G); '-0.911, -0.872, -0.911, -0.683, -0.854, -0.924 (C-rich)]",The PQS 1 (3G) of QGRS mapper and the PQS 1 of G4 Hunter are both 3G and have the same G tracts with a right frame shift in G4 hunter compared to QGRS mapper.,0,0,No PQS found in G4 hunter
"ANRIL
CDKN2B-AS1",cervical cancer,"qPCR, RNAi etc.",up-regulated,26408699,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)",REVIEWED,"1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);",-0.829 (C-rich),All the variants had one PQS with the same score,0,0,No PQS found in G4 hunter
"ANRIL
CDKN2B-AS1",cervical cancer,qPCR etc.,up-regulated,22487937,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)",REVIEWED,"1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);",-0.829 (C-rich),All the variants had one PQS with the same score,0,0,No PQS found in G4 hunter
"ANRIL
CDKN2B-AS1",cervical cancer,"qPCR, Luciferase Reporter Assay",up-regulated,28550682,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)",REVIEWED,"1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);",-0.829 (C-rich),All the variants had one PQS with the same score,0,0,No PQS found in G4 hunter
"ANRIL
CDKN2B-AS1",cervical cancer,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",up-regulated,27899255,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)",REVIEWED,"1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);",-0.829 (C-rich),All the variants had one PQS with the same score,0,0,No PQS found in G4 hunter
ASB16-AS1,cervical cancer,"qRT-PCR, Western blot",up-regulated,32058219,Also known as: C17orf65,2,"NR_049729.1, NR_049730.1","20,4","19,4","1,0","0,0",VALIDATED,"10 (10-C-rich);
2 (2-C-rich)
","[-0.911, -0.86, -0.882, -0.933, -0.872, -0.914, -0.982, -0.942, -0.88, -0.84 (C-rich)] ; 

[-0.911, -0.84 (C-rich)]",,0,0,No PQS found in G4 hunter
"BC200
BCYRN1",cervical cancer,"Northern hybridization, ISH etc.",up-regulated,9422992,Also Known As: BCYRN1; BC200; BC200a; LINC00004; NCRNA00004,1 (BCYRN1),BCYRN1 (NR_001568.1),2 (BCYRN1),2 (BCYRN1),0 (BCYRN1),0 (BCYRN1),REVIEWED (BCYRN1),1 (C-rich),-1.135 (C-rich),,0,0,No PQS found in G4 hunter
BCAR4,cervical cancer,"qPCR, Western blot, in vitro knockdown",up-regulated,29937186,,5,"NR_024049.1, NR_024050.1, NR_131216.1, NR_131217.1, NR_131222.1","5,2,1,2,2","5,2,1,2,2","0,0,0,0,0","0,0,0,0,0",VALIDATED,0,0,,0,0,No PQS found in G4 hunter
BCAR4,cervical cancer,"qPCR, Western blot, etc.",up-regulated,29937186,,5,"NR_024049.1, NR_024050.1, NR_131216.1, NR_131217.1, NR_131222.1","5,2,1,2,2","5,2,1,2,2","0,0,0,0,0","0,0,0,0,0",VALIDATED,0,0,,0,0,No PQS found in G4 hunter
