LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Lnc Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka
ADAMTS9-AS2,Non Small Cell Lung Cancer,"Microarray, qPCR etc.",down-regulated,25590602,,1,NR_038264.1,12,11,1,0,VALIDATED,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585
ADAMTS9-AS2,Lung Cancer,"Microarray, qPCR, Western blot etc",down-regulated,29707897,,1,NR_038264.1,12,11,1,0,VALIDATED,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585
AFAP1-AS1,Non Small Cell Lung Cancer,qPCR,up-regulated,29963138,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,"RNA-seq, qPCR, Western blot, in vitro knockdown, RIP",up-regulated,29793547,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,"RT-PCR, Luciferase Reporter Assay, RIP, Western blot analysis",up-regulated,31696057,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,"qRT-PCR , RIP , Western blot , RNAi , in vitro knockdown etc.",up-regulated,31069893,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,"qPCR, Luciferase reporter assay, RNA-seq, other",up-regulated,30293090,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,"qPCR, Western blot, RNAi, other",up-regulated,30278439,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,qPCR,up-regulated,29080690,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Lung Squamous Cell Carcinoma,"qPCR, RNAi, Cell proliferation assay etc.",up-regulated,27797003,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Lung Cancer,"RNA-seq, qPCR, Western blot etc.",up-regulated,26245991,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,qPCR etc.,up-regulated,26463625,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,AFAP1AS; AFAP1-AS
AFAP1-AS1,Lung Adenocarcinoma,qPCR etc.,up-regulated,28670387,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,AFAP1AS; AFAP1-AS
