LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Lnc Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka,"G4 Hunter, thres:0.9 TOTAL PQS","G4 Hunter, thres:0.9 2G PQS","G4 Hunter, thres:0.9 3G PQS","G4 Hunter, thres:0.9 4G PQS","G4 Hunter, thres:1.4 TOTAL PQS","G4 Hunter, thres:1.4 2G PQS","G4 Hunter, thres:1.4 3G PQS","G4 Hunter, thres:1.4 4G PQS"
AATBC,Nasopharyngeal Cancer,"Western blot, qRT-PCR, Luciferase reporter assay etc.",up-regulated,32364663.0,,1,NR_026961.1,66,59,7,0,VALIDATED,apoptosis associated transcript in bladder cancer;apoptosis-associated transcript in bladder cancer;AATBC;HSALNG0133454;NONHSAG032997.2;HSALNG0133458,51,45,6,0,33,31,2,0
ADAMTS9-AS2,Tongue Squamous Cell Carcinoma,"qPCR, Microarray, Western blot",up-regulated,30970517.0,,1,NR_038264.1,12,11,1,0,VALIDATED,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585,6,6,0,0,2,2,0,0
AFAP1-AS1,Laryngeal Cancer,"qPCR, Western blot, Luciferase reporter assay",up-regulated,29971915.0,"Also Known As: AFAP1-AS, AFAP1AS
",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Oral Squamous Cell Carcinoma,"qRT-PCR, Western blot",up-regulated,31875436.0,"Also Known As: AFAP1-AS, AFAP1AS
",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Nasopharyngeal Cancer,"qPCR, Western blot, Luciferase reporter assay, RNAi, other",up-regulated,30326930.0,"Also Known As: AFAP1-AS, AFAP1AS
",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Tongue Squamous Cell Carcinoma,"qPCR, Western blot, in vitro knockdown",up-regulated,29310682.0,"Also Known As: AFAP1-AS, AFAP1AS
",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Nasopharyngeal Cancer,qPCR etc.,down-regulated,28467811.0,"Also Known As: AFAP1-AS, AFAP1AS
",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Nasopharyngeal Cancer,"Microarray, qPCR, RNAi, Western blot, ISH etc.",up-regulated,26246469.0,"Also Known As: AFAP1-AS, AFAP1AS
",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Laryngeal Squamous Cell Cancer,"qPCR, Luciferase reporter assay, Western blot, etc.",up-regulated,29971915.0,"Also Known As: AFAP1-AS, AFAP1AS
",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
ANCR,Nasopharyngeal Cancer,"qPCR, Western blot, RIP, etc.",up-regulated,30568463.0,"Also Known As: AGU2; ANCR; DANCR; 
SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, 
Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete 
sequence-LC128577.1, LC128578.1 and 
LC128579.1 respectively) with PQS- 7, 7, 7 
respectively, were also there in result.",3 (DANCR),"DANCR (NR_024031.2, NR_145129.1, NR_145130.1)","6, 7, 7 (DANCR)","5,6,6","1,1,1","0,0,0",REVIEWED (DANCR),AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR,"4,3,3","3,2,2","1,1,1","0,0,0","1,0,0","1,0,0","0,0,0","0,0,0"
