LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1
ABHD11-AS1,gastric cancer,qPCR etc.,up-regulated,26280398.0,Also Known As: WBSCR26; LINC00035; NCRNA00035,1,NR_026690.1,8,8,0,0,VALIDATED,2 (2G),"[0.872, 0.939 (2G)] 
",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter
ABHD11-AS1,gastric cancer,qPCR etc.,up-regulated,24984296.0,Also Known As: WBSCR26; LINC00035; NCRNA00035,1,NR_026690.1,8,8,0,0,VALIDATED,2 (2G),"[0.872, 0.939 (2G)] 
",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter
ADAMTS9-AS2,gastric cancer,"qPCR, Western blot",down-regulated,32160650.0,,1,NR_038264.1,12,11,1,0,VALIDATED,"5 (2 - 2G, 3 - C-rich)","[0.872, 0.902 (2G), -0.987, -0.904, -0.945 (C-rich)]
","PQS 1 (3G) of QGRS Mapper is similar to PQS 1 (3G) of 
G4 Hunter. The G-tracts of both PQS are the same with a few nucleotides 
surrounding the G4 Hunter sequence.",1 (C-rich),[-1.392 (C-rich)],"No similarity to 
any PQS (2G) 
from QGRS mapper
"
ADAMTS9-AS2,gastric cancer,"qPCR, Western blot",down-regulated,30089248.0,,1,NR_038264.1,12,11,1,0,VALIDATED,"5 (2 - 2G, 3 - C-rich)","[0.872, 0.902 (2G), -0.987, -0.904, -0.945 (C-rich)]
","PQS 1 (3G) of QGRS Mapper is similar to PQS 1 (3G) of 
G4 Hunter. The G-tracts of both PQS are the same with a few nucleotides 
surrounding the G4 Hunter sequence.",1 (C-rich),[-1.392 (C-rich)],"No similarity to 
any PQS (2G) 
from QGRS mapper
"
ADPGK-AS1,gastric cancer,"qPCR, Luciferase reporter assay, Western blot, RIP",up-regulated,30944080.0,,1,NR_040107.1,24,22,2,0,VALIDATED,"6 (1 - 2G, 1 - 3G, 4 - C-rich)
","[0.685 (3G), -0.909, -0.87, -0.941, -0.961 (C-rich), 0.7 (2G)]
","No similarity to PQS (3G) from QGRS mapper
","2 (1 - 3G, 1 - C-rich)

","[1.348 (3G), -1.208 (C-rich)] 
","No similarity to 
any PQS (3G) 
from QGRS mapper"
AFAP1-AS1,gastric cancer,qRT-PCR,up-regulated,32051698.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,"9 (1-3G,8-C-rich) ","[-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872 (C-rich), 0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 Hunter
AFAP1-AS1,gastric cancer,"qRT-PCR, Western blot, RIP",up-regulated,32016968.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,"9 (1-3G,8-C-rich) ","[-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872 (C-rich), 0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 Hunter
AFAP1-AS1,gastric cancer,"qPCR, Western blot, in vitro knockdown",up-regulated,29805596.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,"9 (1-3G,8-C-rich) ","[-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872 (C-rich), 0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 Hunter
AFAP1-AS1,gastric cancer,qPCR etc.,up-regulated,31785996.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,"9 (1-3G,8-C-rich) ","[-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872 (C-rich), 0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 Hunter
AFAP1-AS1,gastric cancer,qRT-PCR etc.,down-regulated,31086663.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,"9 (1-3G,8-C-rich) ","[-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872 (C-rich), 0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 Hunter
