LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka,"G4 Hunter, thres:0.9 TOTAL PQS","G4 Hunter, thres:0.9 2G PQS","G4 Hunter, thres:0.9 3G PQS","G4 Hunter, thres:0.9 4G PQS","G4 Hunter, thres:1.4 TOTAL PQS","G4 Hunter, thres:1.4 2G PQS","G4 Hunter, thres:1.4 3G PQS","G4 Hunter, thres:1.4 4G PQS"
ABHD11-AS1,Gastric Cancer,qPCR etc.,up-regulated,26280398.0,Also Known As: WBSCR26; LINC00035; NCRNA00035,1,NR_026690.1,8,8,0,0,VALIDATED,WBSCR26; LINC00035; NCRNA00035,5,5,0,0,0,0,0,0
ABHD11-AS1,Gastric Cancer,qPCR etc.,up-regulated,24984296.0,Also Known As: WBSCR26; LINC00035; NCRNA00035,1,NR_026690.1,8,8,0,0,VALIDATED,WBSCR26; LINC00035; NCRNA00035,5,5,0,0,0,0,0,0
ADAMTS9-AS2,Gastric Cancer,"qPCR, Western blot",down-regulated,32160650.0,,1,NR_038264.1,12,11,1,0,VALIDATED,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585,6,6,0,0,2,2,0,0
ADAMTS9-AS2,Gastric Cancer,"qPCR, Western blot",down-regulated,30089248.0,,1,NR_038264.1,12,11,1,0,VALIDATED,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585,6,6,0,0,2,2,0,0
ADPGK-AS1,Gastric Cancer,"qPCR, Luciferase reporter assay, Western blot, RIP",up-regulated,30944080.0,,1,NR_040107.1,24,22,2,0,VALIDATED,ADPGK antisense RNA 1;ADPGK antisense RNA 1 (non-protein coding);NONHSAG017366.2;ADPGK-AS1;HSALNG0107094,7,7,0,0,5,5,0,0
AFAP1-AS1,Gastric Cancer,qRT-PCR,up-regulated,32051698.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Gastric Cancer,"qRT-PCR, Western blot, RIP",up-regulated,32016968.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Gastric Cancer,"qPCR, Western blot, in vitro knockdown",up-regulated,29805596.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Gastric Cancer,qPCR etc.,up-regulated,31785996.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Gastric Cancer,qRT-PCR etc.,down-regulated,31086663.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Gastric Cancer,"qPCR, other",up-regulated,31452798.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Gastric Cancer,"qPCR, Western blot, etc.",up-regulated,28975981.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Gastric Cancer,"qPCR, Western blot etc.",up-regulated,28451917.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFAP1-AS1,Gastric Cancer,"qPCR, Western blot etc.",up-regulated,29805596.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,AFAP1AS; AFAP1-AS,5,4,1,0,0,0,0,0
AFDN-DT,Gastric Cancer,RT-qPCR,up-regulated,31981317.0,"Also Known As: HGC6.4; AFDN-AS1; C6orf124; MLLT4-AS1; dJ431P23.3

Some QGRS Sequences are repeated multiple times throughout the RNA",1,NR_027906.1,25,14,11,0,VALIDATED,HGC6.4; XBP1SBM; AFDN-AS1; C6orf124; MLLT4-AS1; dJ431P23.3,49,46,3,0,2,1,1,0
AGAP2-AS1,Gastric Cancer,"qPCR, RNAi, Western blot, RIP, ChIP, Luciferase reporter assay, Cell proliferation assay, Cell migration and invasion assay etc.",up-regulated,28209205.0,Also Known As: PUNISHER,1,NR_027032.1,16,12,4,0,VALIDATED,PUNISHER,7,5,2,0,4,2,2,0
AKR7L,Gastric Cancer,"Microarray, qPCR, RNAi etc.",down-regulated,25765901.0,Also Known As: AFAR3; AKR7A4; AFB1-AR3; AFB1-AR 3,2,"NR_040288.2, NR_040289.2",,"18,15","1,0","0,0",REVIEWED,AFAR3; AKR7A4; AFB1-AR3; AFB1-AR 3,"9,9","9,9","0,0","0,0","0,0","0,0","0,0","0,0"
"ANCR",Gastric Cancer,"qRT-PCR, Western blot, RIP",up-regulated,31894487.0,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result.",3 (DANCR),"DANCR (NR_024031.2, NR_145129.1, NR_145130.1)","6, 7, 7 (DANCR)","5,6,6","1,1,1","0,0,0",REVIEWED (DANCR),AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR,"4,3,3","3,2,2","1,1,1","0,0,0","1,0,0","1,0,0","0,0,0","0,0,0"
"ANRIL",Gastric Cancer,"qPCR, Western blot",up-regulated,30156609.0,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","REVIEWED (CDKN2B-AS1)
",ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1,"1,1,0,1,0,0,0,0,0,0,0,0,0,0","1,1,0,1,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
