,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
0,NR_110150.1,14,0,0
1,NR_110151.1,14,0,0
2,NR_026892.1,36,1,0
3,NR_026892.1,36,1,0
4,NR_109831),8,3,0
5,NR_003529.3,21,0,0
6,NR_047532.1,16,0,0
7,NR_047543.1,10,0,0
8,NR_047534.1,10,0,0
9,NR_047535.1,9,0,0
10,NR_047536.1,7,0,0
11,NR_047537.1,9,0,0
12,NR_047538.1,7,0,0
13,NR_047539.1,17,0,0
14,NR_047540.1,10,0,0
15,NR_047541.1,10,0,0
16,NR_047542.1,8,0,0
17,NR_047533.1,6,0,0
18,NR_120536.1,6,0,0
19,NR_003529.3,21,0,0
20,NR_047532.1,16,0,0
21,NR_047543.1,10,0,0
22,NR_047534.1,10,0,0
23,NR_047535.1,9,0,0
24,NR_047536.1,7,0,0
25,NR_047537.1,9,0,0
26,NR_047538.1,7,0,0
27,NR_047539.1,17,0,0
28,NR_047540.1,10,0,0
29,NR_047541.1,10,0,0
30,NR_047542.1,8,0,0
31,NR_047533.1,6,0,0
32,NR_120536.1,6,0,0
33,NR_131947.1,2,0,0
34,NR_131948.1,2,0,0
35,NR_131947.1,2,0,0
36,NR_131948.1,2,0,0
37,NR_024049.1,5,0,0
38,NR_024050.1,2,0,0
39,NR_131216.1,1,0,0
40,NR_131217.1,2,0,0
41,NR_131222.1,2,0,0
42,NR_033313.1,3,0,0
43,NR_033315.1,5,0,0
44,NR_033312.1,7,0,0
45,NR_033314.1,7,1,0
46,NR_002832.2,9,1,0
47,NR_103783.1,21,0,0
48,NR_028308.1,12,4,0
49,NR_015410.2,18,0,0
50,NR_026939.1,15,2,0
51,NR_026940.1,15,2,0
52,NR_026941.1,7,2,0
53,NR_108049.1,9,0,0
54,NR_108049.1,9,0,0
55,NR_108049.1,9,0,0
56,NR_108049.1,9,0,0
57,NR_108049.1,9,0,0
58,NR_108049.1,9,0,0
59,NR_109834.1,6,0,0
60,NR_034105.4,5,0,0
61,NR_034106.3,7,2,0
62,NR_110453.2,5,0,0
63,NR_110454.2,7,2,0
64,NR_170995.1,7,2,0
65,NR_104331.1,46,6,0
66,NR_024031.2,5,1,0
67,NR_145129.1,6,1,0
68,NR_145130.1,6,1,0
69,NR_024031.2,5,1,0
70,NR_145129.1,6,1,0
71,NR_145130.1,6,1,0
72,NR_024031.2,5,1,0
73,NR_145129.1,6,1,0
74,NR_145130.1,6,1,0
75,NR_002733.2,29,3,0
76,NR_045121.1,29,3,0
77,NR_110533.1,11,0,0
78,NR_026651.1,5,5,5
79,NR_024159.1,5,2,0
80,NR_026979.1,10,0,0
81,NR_026979.1,10,0,0
82,NR_110526.1,12,0,0
83,NR_004428.1,9,1,0
84,NR_051960.1,8,0,0
85,NR_051960.1,8,0,0
86,NR_033925.1,14,0,0
87,NR_036444.1,23,1,0
88,NR_033925.1,14,0,0
89,NR_036444.1,23,1,0
90,NR_119376.1,83,2,0
91,NR_036484.1,21,1,0
92,NR_036484.1,21,1,0
93,NR_125795.1,3,0,0
94,NR_126415.1,2,0,0
95,NR_126416.1,2,0,0
96,NR_126417.1,1,0,0
97,NR_002578.3,5,0,0
98,NR_152521.1,6,0,0
99,NR_152522.1,5,0,0
100,NR_152523.1,5,0,0
101,NR_152524.1,5,0,0
102,NR_152525.1,5,0,0
103,NR_152526.1,5,0,0
104,NR_152527.1,3,0,0
105,NR_152528.1,4,0,0
106,NR_152529.1,3,0,0
107,NR_152530.1,5,0,0
108,NR_152531.1,5,0,0
109,NR_152532.1,5,0,0
110,NR_152533.1,5,0,0
111,NR_152534.1,5,0,0
