LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,aka
ACTA2-AS1:4,liver cancer,"qPCR, Western blot, etc.",up-regulated,30664183.0,Also known as: ZXF1; UC001kfo; uc001kfo.1,1,NR_125373.1,20,20,0,0,VALIDATED,0,0,No PQS found in G4 Hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,ZXF1; UC001kfo; uc001kfo.1
ACVR2B-AS1,liver cancer,other,up-regulated,31886217.0,,1,NR_028389.1,14,14,0,0,VALIDATED,9 (C-rich),"[-1.043, -0.899, -0.907, -0.911, -0.944, -0.9, -0.738, -0.891, -0.898 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,ACVR2B antisense RNA 1;ACVR2B antisense RNA 1 (non-protein coding);HSALNG0025231;ACVR2B-AS1;NONHSAG034796.2
AFAP1-AS1,cholangiocarcinoma,"qPCR, Western blot",up-regulated,28535506.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",PQS 1 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 Hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,AFAP1AS; AFAP1-AS
AFAP1-AS1,hepatocellular carcinoma,"qPCR, Western blot, Flow cytometry assay etc.",up-regulated,26892468.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",PQS 1 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 Hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,AFAP1AS; AFAP1-AS
AFAP1-AS1,cholangiocarcinoma,"qPCR, Western blot, in vitro knockdown",up-regulated,28938565.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",PQS 1 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 Hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,AFAP1AS; AFAP1-AS
AFAP1-AS1,hepatocellular carcinoma,"qPCR, Western blot, Cell proliferation assay etc.",up-regulated,26803513.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,REVIEWED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",PQS 1 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 Hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,AFAP1AS; AFAP1-AS
AGAP2-AS1,hepatocellular carcinoma,"qRT-PCR , Luciferase reporter assay , Western blot , RIP , in vitro knockdown etc.",up-regulated,31088485.0,Also Known As: PUNISHER,1,NR_027032.1,16,12,4,0,VALIDATED,"14 (8-C-rich, 2-2G, 
4-3G)","[0.722, 1.089, 0.863, 0.836,
 0.877 (3G), 1.068, -0.911, 
-0.713, -0.845, -0.889, 
-0.8, -0.865, -0.911, -0.857 (C-rich)]","The PQS 1 (3G) of QGRS Mapper is similar to / a part of PQS 1 (3G) of G4 Hunter, with a right frame-shift in G4 Hunter
 PQS 2 (3G) of QGRS  Mapper is similar to / a part of PQS 2 (3G) of G4 Hunter. , with a right frame-shift in G4 Hunter
 PQS 3 (3G) of QGRS  Mapper is similar to / a part of PQS 3 (3G) of G4 Hunter, with a left frame-shift in G4 Hunter
 PQS 4 (3G) of QGRS  Mapper is similar to / a part of PQS 4 (3G) of G4 Hunter. , with a right frame-shift in G4 Hunter
","3 (1-C-rich, 2- 3G)","[1.438, 1.203 (3G); -1.538 
(C-rich)]","PQS 2 (3G) of QGRS Mapper is similar to / a part of PQS 1 (3G) of G4 Hunter, with a right frame-shift in G4 Hunter
PQS 3 (3G) of QGRS  Mapper is similar to / a part of PQS 2 (3G) of G4 Hunter, with a right frame-shift in G4 Hunter",,,,,,,,,,,PUNISHER
"aHIF 
HIF1A-AS2",hepatocellular carcinoma,"Microarray, qPCR etc.",down-regulated,27894309.0,Also Known As: HIF1A-AS2; aHIF; 3'aHIF-1A,1 (HIF1A-AS2),HIF1A-AS2 (NR_045406.1),1 (HIF1A-AS2),1 (HIF1A-AS2),0 (HIF1A-AS2),0 (HIF1A-AS2),VALIDATED (HIF1A-AS2),,,No similarity to any PQS (2G) from QGRS mapper,,,,,,,,,,,,,,aHIF; 3'aHIF-1A
"ANCR 
DANCR",hepatocellular carcinoma,"qRT-PCR, RIP, Western blotting, Dual luciferase reporter gene assay",up-regulated,31868085.0,"Also Known As: AGU2; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3 (DANCR),"DANCR (NR_024031.2, NR_145129.1, NR_145130.1)","6, 7, 7 (DANCR)  ","5, 6, 6 (DANCR)","1, 1, 1 (DANCR)","0, 0, 0 (DANCR)",REVIEWED (DANCR),"3 (3-C-rich)
1 (C-rich)
1 (C-rich)","[-0.62, -0.921, -0.787 (C-rich)];

[-0.62(C-rich)] ;

[-0.62(C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"1(C-rich);
1(C-rich);
1(C-rich);

","[-1.444 (C-rich)] ;

[-1.444 (C-rich)] ;

[-1.444 (C-rich)]",No similarity to any PQS (3G)  from QGRS mapper,,,,,,,,,,,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
"ANRIL 
CDKN2B-AS1",hepatocellular carcinoma,"qRT-PCR, Western blot, Luciferase Activity Assay, RIP",up-regulated,31679275.0,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 (CDKN2B-AS1)",REVIEWED (CDKN2B-AS1),"1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);
1 (C-rich);",-0.829 (C-rich),No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
