LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Lnc Transcript variants,NCBI Reference Number/GeneBank ID,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1,Unnamed: 19
ADAMTS9-AS2,non small cell lung cancer,"Microarray, qPCR etc.",down-regulated,25590602,,1,NR_038264.1,12,11,1,0,VALIDATED,"5 (1-2G, 1-3G,
 3-C-rich)","[0.872 (2G); -0.987, 
-0.904, -0.945 (C-rich); 
0.902 (3G)]","The PQS 1 (3G) of QGRS Mapper is similar to the PQS 1 (3G) of 
G4 Hunter. The G-tracts of both PQS are the same with a few nucleotides 
surrounding the G4 Hunter sequence.",1 (C-rich),[-1.392 (C-rich)],No similarity to any PQS from QGRS mapper,
ADAMTS9-AS2,lung cancer,"Microarray, qPCR, Western blot etc",down-regulated,29707897,,1,NR_038264.1,12,11,1,0,VALIDATED,"5 (1-2G, 1-3G,
 3-C-rich)","[0.872 (2G); -0.987, 
-0.904, -0.945 (C-rich); 
0.902 (3G)]","The PQS 1 (3G) of QGRS Mapper is similar to the PQS 1 (3G) of 
G4 Hunter. The G-tracts of both PQS are the same with a few nucleotides 
surrounding the G4 Hunter sequence.",1 (C-rich),[-1.392 (C-rich)],No similarity to any PQS from QGRS mapper,
AFAP1-AS1,non small cell lung cancer,qPCR,up-regulated,29963138,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,
AFAP1-AS1,non small cell lung cancer,"RNA-seq, qPCR, Western blot, in vitro knockdown, RIP",up-regulated,29793547,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,
AFAP1-AS1,non small cell lung cancer,"RT-PCR, Luciferase Reporter Assay, RIP, Western blot analysis",up-regulated,31696057,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,
AFAP1-AS1,non small cell lung cancer,"qRT-PCR , RIP , Western blot , RNAi , in vitro knockdown etc.",up-regulated,31069893,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,
AFAP1-AS1,non small cell lung cancer,"qPCR, Luciferase reporter assay, RNA-seq, other",up-regulated,30293090,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,
AFAP1-AS1,non small cell lung cancer,"qPCR, Western blot, RNAi, other",up-regulated,30278439,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,
AFAP1-AS1,non small cell lung cancer,qPCR,up-regulated,29080690,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,
AFAP1-AS1,lung squamous cell carcinoma,"qPCR, RNAi, Cell proliferation assay etc.",up-regulated,27797003,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,
