,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
0,NR_038264.1,11,1,0
1,NR_038264.1,11,1,0
2,NR_026892.1,36,1,0
3,NR_026892.1,36,1,0
4,NR_026892.1,36,1,0
5,NR_026892.1,36,1,0
6,NR_026892.1,36,1,0
7,NR_026892.1,36,1,0
8,NR_026892.1,36,1,0
9,NR_026892.1,36,1,0
10,NR_026892.1,36,1,0
11,NR_026892.1,36,1,0
12,NR_026892.1,36,1,0
13,NR_026892.1,36,1,0
14,NR_026892.1,36,1,0
15,NR_026892.1,36,1,0
16,NR_026892.1,36,1,0
17,NR_026892.1,36,1,0
18,NR_027032.1,12,4,0
19,NR_027032.1,12,4,0
20,NR_027032.1,12,4,0
21,NR_024031.2,5,1,0
22,NR_145129.1,6,1,0
23,NR_145130.1,6,1,0
24,NR_024031.2,5,1,0
25,NR_145129.1,6,1,0
26,NR_145130.1,6,1,0
27,NR_003529.3,21,0,0
28,NR_047532.1,16,0,0
29,NR_047543.1,10,0,0
30,NR_047534.1,10,0,0
31,NR_047535.1,9,0,0
32,NR_047536.1,7,0,0
33,NR_047537.1,9,0,0
34,NR_047538.1,7,0,0
35,NR_047539.1,17,0,0
36,NR_047540.1,10,0,0
37,NR_047541.1,10,0,0
38,NR_047542.1,8,0,0
39,NR_047533.1,6,0,0
40,NR_120536.1,6,0,0
41,NR_003529.3,21,0,0
42,NR_047532.1,16,0,0
43,NR_047543.1,10,0,0
44,NR_047534.1,10,0,0
45,NR_047535.1,9,0,0
46,NR_047536.1,7,0,0
47,NR_047537.1,9,0,0
48,NR_047538.1,7,0,0
49,NR_047539.1,17,0,0
50,NR_047540.1,10,0,0
51,NR_047541.1,10,0,0
52,NR_047542.1,8,0,0
53,NR_047533.1,6,0,0
54,NR_120536.1,6,0,0
55,NR_003529.3,21,0,0
56,NR_047532.1,16,0,0
57,NR_047543.1,10,0,0
58,NR_047534.1,10,0,0
59,NR_047535.1,9,0,0
