,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
0,NR_026892.1,36,1,0
1,NR_109831.1,8,3,0
2,NR_003529.3,21,0,0
3,NR_047532.1,16,0,0
4,NR_047543.1,10,0,0
5,NR_047534.1,10,0,0
6,NR_047535.1,9,0,0
7,NR_047536.1,7,0,0
8,NR_047537.1,9,0,0
9,NR_047538.1,7,0,0
10,NR_047539.1,17,0,0
11,NR_047540.1,10,0,0
12,NR_047541.1,10,0,0
13,NR_047542.1,8,0,0
14,NR_047533.1,6,0,0
15,NR_120536.1,6,0,0
16,NR_003529.3,21,0,0
17,NR_047532.1,16,0,0
18,NR_047543.1,10,0,0
19,NR_047534.1,10,0,0
20,NR_047535.1,9,0,0
21,NR_047536.1,7,0,0
22,NR_047537.1,9,0,0
23,NR_047538.1,7,0,0
24,NR_047539.1,17,0,0
25,NR_047540.1,10,0,0
26,NR_047541.1,10,0,0
27,NR_047542.1,8,0,0
28,NR_047533.1,6,0,0
29,NR_120536.1,6,0,0
30,NR_003529.3,21,0,0
31,NR_047532.1,16,0,0
32,NR_047543.1,10,0,0
33,NR_047534.1,10,0,0
34,NR_047535.1,9,0,0
35,NR_047536.1,7,0,0
36,NR_047537.1,9,0,0
37,NR_047538.1,7,0,0
38,NR_047539.1,17,0,0
39,NR_047540.1,10,0,0
40,NR_047541.1,10,0,0
41,NR_047542.1,8,0,0
42,NR_047533.1,6,0,0
43,NR_120536.1,6,0,0
44,NR_003529.3,21,0,0
45,NR_047532.1,16,0,0
46,NR_047543.1,10,0,0
47,NR_047534.1,10,0,0
48,NR_047535.1,9,0,0
49,NR_047536.1,7,0,0
50,NR_047537.1,9,0,0
51,NR_047538.1,7,0,0
52,NR_047539.1,17,0,0
53,NR_047540.1,10,0,0
54,NR_047541.1,10,0,0
55,NR_047542.1,8,0,0
56,NR_047533.1,6,0,0
57,NR_120536.1,6,0,0
58,NR_049729.1,19,1,0
59,NR_049730.1,4,0,0
60,NR_001568.1,2,0,0
61,NR_024049.1,5,0,0
62,NR_024050.1,2,0,0
63,NR_131216.1,1,0,0
64,NR_131217.1,2,0,0
65,NR_131222.1,2,0,0
66,NR_024049.1,5,0,0
67,NR_024050.1,2,0,0
68,NR_131216.1,1,0,0
69,NR_131217.1,2,0,0
70,NR_131222.1,2,0,0
71,NR_001568.1,2,0,0
72,NR_103783.1,21,0,0
73,NR_103783.1,21,0,0
74,NR_103783.1,21,0,0
75,NR_103783.1,21,0,0
76,NR_105049.1,8,1,0
77,NR_105050.1,8,1,0
78,NR_120496.1,29,0,0
79,NR_120497.1,27,1,0
80,NR_117101.1,0,0,0
81,NR_117102.1,0,0,0
82,NR_015410.2,18,0,0
83,NR_015410.2,18,0,0
84,NR_026939.1,15,2,0
85,NR_026939.1,15,2,0
86,NR_103848.1,5,0,0
87,NR_103850.2,4,0,0
88,NR_103849.2,4,0,0
89,NR_108049.1,9,0,0
90,NR_108049.1,9,0,0
91,NR_108049.1,9,0,0
92,NR_108049.1,9,0,0
93,NR_109834.1,6,0,0
94,NR_109834.1,6,0,0
95,NR_131782.1,17,0,0
96,NR_034105.4,5,0,0
97,NR_034106.3,7,2,0
98,NR_110453.2,5,0,0
99,NR_110454.2,7,2,0
100,NR_170995.1,7,2,0
101,NR_034105.4,5,0,0
102,NR_034106.3,7,2,0
103,NR_110453.2,5,0,0
104,NR_110454.2,7,2,0
105,NR_170995.1,7,2,0
106,NR_034105.4,5,0,0
107,NR_034106.3,7,2,0
108,NR_110453.2,5,0,0
109,NR_110454.2,7,2,0
110,NR_170995.1,7,2,0
111,NR_034105.4,5,0,0
112,NR_034106.3,7,2,0
113,NR_110453.2,5,0,0
114,NR_110454.2,7,2,0
115,NR_170995.1,7,2,0
116,NR_024031.2,5,1,0
117,NR_145129.1,6,1,0
118,NR_145130.1,6,1,0
119,NR_024031.2,5,1,0
120,NR_145129.1,6,1,0
121,NR_145130.1,6,1,0
122,NR_147178.1,15,2,1
123,NR_147179.1,13,2,1
124,NR_002733.2,29,3,0
125,NR_045121.1,29,3,0
126,NR_110533.1,11,0,0
127,NR_026651.1,5,5,5
128,NR_024159.1,5,2,0
129,NR_109973.1,10,0,0
130,NR_002605.2,9,0,0
131,NR_109974.1,8,0,0
132,NR_038289.1,12,0,1
133,NR_015448.1,9,0,0
134,NR_015448.1,9,0,0
135,NR_015448.1,9,0,0
136,NR_038896.1,12,0,0
137,NR_038898.1,7,0,0
138,NR_038899.1,8,0,0
139,NR_038900.1,7,0,0
140,NR_051960.1,8,0,0
141,NR_036484.1,21,1,0
142,NR_036484.1,21,1,0
143,NR_026878.1,21,3,0
